# ID	Wavelength
1	4477.6657
2	4860.5013
3	4220.7895
4	3646.9076
5	4857.5634
6	3480.7754
7	4692.4671
8	4887.2659
9	3521.0257
10	3933.6597
11	4276.3385
12	5042.7071
13	3757.9738
14	4178.7124
15	5135.7782
16	3495.8618
17	4307.1644
18	3731.1472
19	4868.0416
20	3633.9456
21	4328.7512
22	3760.3818
23	4378.8033
24	5469.5298
25	5465.7286
26	3631.2631
27	5273.4493
28	4591.0011
29	4578.7107
30	3961.7105
31	3876.3623
32	5456.4724
33	3918.3712
34	3493.3368
35	3475.4873
36	3570.5622
37	5346.1328
38	4385.9858
39	4018.8563
40	5084.1108
41	4417.7373
42	4908.4755
43	4994.9292
44	4887.8354
45	5154.2804
46	5460.0599
47	4085.6743
48	3514.9304
49	3690.2080
50	4588.0060
51	3532.0034
52	4106.1254
53	3815.3139
54	3422.3519
55	4072.0381
56	3442.4806
57	3795.2803
58	4850.7405
59	3891.7718
60	4227.0740
61	3737.0960
62	4087.9860
63	4363.0257
64	4227.7505
65	3534.9754
66	5424.8425
67	4117.5018
68	3732.7818
69	3816.8402
70	4614.9812
71	3821.5260
72	4543.3336
73	4206.6858
74	4889.5956
75	5394.9691
76	3467.1939
77	5160.0722
78	4799.9862
79	4118.8506
80	4496.4863
81	4252.3947
82	4865.2368
83	4431.4637
84	3862.4284
85	4636.2313
86	4695.1359
87	4205.3500
88	4147.1933
89	4916.0315
90	3560.4728
91	4710.4869
92	5390.2946
93	4786.9912
94	4688.2940
95	4113.0468
96	3837.5889
97	3863.4920
98	5429.3890
99	5406.9949
100	3487.2039
