 burst ID delayed:age delayed:massformed delayed:metallicity delayed:tau dust:Av nebular:logU redshift stellar_mass formed_mass sfr ssfr nsfr mass_weighted_age tform tquench mass_weighted_zmet chisq_phot continuum
0 0.16 1027417 0.0512 7.72677 0.78019 7.37521 0.07321 -1.7479 3.19207 7.66001 7.72677 0.5346 -7.95087 1.28512 0.01717 1.93898 99.0 0.77925 27.1409 7.1323e-20
1 0.3 1027604 0.01102 7.79865 1.87093 7.4721 0.01963 -1.06256 3.97953 7.77715 7.79865 0.63081 -7.9768 1.18461 0.00379 1.52122 99.0 1.86581 167.68904 1.3763e-19
2 0.3 1027974 0.01033 7.84482 0.29784 7.03873 0.01079 -1.54053 2.94568 7.83019 7.84482 0.70157 -7.98437 1.33485 0.00356 2.15204 99.0 0.29773 108.17118 3.8927000000000003e-19
3 -0.02 1028036 3.64934 11.43253 0.02483 0.42587 1.37751 -3.70101 1.58959 11.1351 11.43253 1.23784 -11.04228 -1.73521 2.80284 1.23649 2.96778 0.02492 51.33311 2.2136000000000002e-20
4 0.01 1028386 1.09516 9.79535 0.03001 8.18932 0.05456 -2.66407 2.64707 9.61301 9.79535 10.0327 -8.60023 0.60068 0.37685 2.04172 99.0 0.03017 481.27102 1.3373e-18
5 -0.01 1028697 3.09396 10.43475 0.00689 0.44744 0.97381 -2.45956 1.55955 10.13859 10.43475 0.78476 -10.27319 -0.95355 2.15629 1.89106 99.0 0.00693 25.97821 4.524e-20
6 0.29 1029260 0.01321 9.07899 0.44122 7.29878 1.40647 -2.39925 2.96207 9.05674 9.07899 12.02932 -7.97782 1.33219 0.0045 2.13762 99.0 0.44099 20.40376 1.5227e-19
7 0.22 1029300 0.02966 8.52379 1.30616 6.66724 0.63169 -3.10355 3.11138 8.47631 8.52379 3.34996 -7.95311 1.30607 0.00994 2.01158 99.0 1.30249 33.25351 1.8921000000000003e-19
8 0.3 1029337 0.01025 8.32902 1.95316 7.16137 0.0408 -1.05076 3.80358 8.30831 8.32902 2.13931 -7.97814 1.20789 0.00354 1.60577 99.0 1.94859 501.7724 5.3296000000000005e-19
9 0.3 1029505 0.01095 8.01619 0.85866 7.02134 0.25206 -3.35877 3.58833 7.99665 8.01619 1.04098 -7.98038 1.23753 0.00376 1.7193 99.0 0.85802 97.06475 1.7071000000000001e-19
10 0.3 1029991 0.01059 7.87198 0.23281 7.23307 0.63371 -1.71389 2.08458 7.85691 7.87198 0.74684 -7.9842 1.49236 0.00365 3.09448 99.0 0.23274 41.61498 2.2252000000000003e-19
11 0.07 1030104 0.11679 8.05635 0.79343 7.37228 0.0902 -1.80579 3.38835 7.96357 8.05635 0.97407 -7.95482 1.22883 0.03926 1.77854 99.0 0.79246 27.5455 6.3356e-20
12 0.0 1030411 1.47871 9.64078 0.02041 7.15121 1.24721 -1.87502 1.77933 9.43934 9.64078 5.0897 -8.73361 0.62807 0.52616 3.07312 99.0 0.02042 54.74603 1.0041e-19
13 0.15 1030615 0.05649 7.82733 0.045 7.45619 0.07828 -2.85187 3.95049 7.7662 7.82733 0.67388 -7.94407 1.18637 0.01897 1.51939 99.0 0.04506 41.88482 4.8959e-20
14 0.0 1030621 2.85347 10.8521 0.0333 6.94452 2.16131 -1.87645 1.51273 10.62049 10.8521 40.22754 -9.0215 0.36926 1.05787 3.09704 99.0 0.03357 33.42009 1.0158e-19
15 0.15 1031151 0.05741 8.45813 0.31271 7.24848 0.51502 -1.76149 3.01384 8.3951 8.45813 2.8715 -7.95236 1.32118 0.01919 2.08227 99.0 0.31264 18.72533 1.3489000000000002e-19
16 0.0 1031475 1.84779 8.95966 0.0222 4.00844 0.31475 -2.06516 1.54245 8.73687 8.95966 0.56745 -8.9916 0.38797 0.75571 3.3076 99.0 0.02225 64.5641 2.0707000000000002e-19
17 0.25 1031639 0.0219 7.91852 0.05115 7.19225 0.02811 -1.24724 3.00333 7.88403 7.91852 0.83132 -7.96431 1.32551 0.0074 2.1007 99.0 0.05118 47.13015 3.0795e-19
18 0.02 1032098 0.42208 9.97163 0.66285 7.65354 0.79891 -2.51154 2.16427 9.83586 9.97163 37.32672 -8.25064 1.08562 0.14295 2.83636 99.0 0.66235 63.0199 1.2144e-18
19 0.0 1032116 1.84422 9.4902 0.11065 7.9155 0.08424 -2.98981 2.51249 9.28739 9.4902 2.95848 -8.82228 0.38091 0.65538 1.9181 99.0 0.11159 10.48703 4.0202e-19
20 0.01 1032315 0.58615 9.13919 0.20291 7.68818 0.87386 -1.82891 1.77447 8.98746 9.13919 3.62677 -8.37428 1.03721 0.19977 3.38095 99.0 0.2029 47.62729 2.1197000000000002e-19
21 0.01 1032966 1.18977 10.46209 0.03753 7.72156 1.5276 -1.31603 1.85373 10.28057 10.46209 43.52811 -8.64326 0.70547 0.4152 3.01433 99.0 0.03784 71.2824 3.1567000000000004e-19
22 0.3 1033459 0.01064 9.07543 1.85744 7.25795 0.75667 -1.25384 3.73802 9.05322 9.07543 11.93111 -7.97777 1.21678 0.00367 1.63862 99.0 1.8526 66.18581 4.3856e-19
23 0.29 1033704 0.01378 8.59785 0.23163 6.94601 0.28955 -2.00641 2.93809 8.57587 8.59785 3.97279 -7.97778 1.33609 0.00469 2.15743 99.0 0.23156 53.05883 9.165e-19
24 0.3 1033871 0.01176 8.90727 1.90531 7.27926 1.22638 -1.06677 3.97868 8.88222 8.90727 8.10067 -7.97483 1.18472 0.00403 1.52102 99.0 1.89984 139.20511 6.6968e-20
25 0.3 1034014 0.01085 8.48038 0.20663 6.72749 0.45268 -1.34598 2.97277 8.46507 8.48038 3.03128 -7.98385 1.33045 0.00373 2.13003 99.0 0.20662 29.02647 4.7136e-19
26 0.16 1034044 0.05112 8.36734 0.26098 7.23184 0.16308 -3.29099 3.13036 8.30738 8.36734 2.33662 -7.94196 1.30388 0.01728 1.99262 99.0 0.26092 27.39473 2.9006000000000003e-19
27 0.0 1034547 2.738 9.20457 0.24639 7.6172 0.18945 -3.58771 1.74257 8.98829 9.20457 1.0147 -8.98911 0.34836 0.99277 2.66829 99.0 0.24676 20.07054 3.1339e-19
28 0.3 1034587 0.01059 7.69982 0.22995 6.693 0.45437 -1.73332 2.06031 7.68417 7.69982 0.50243 -7.98418 1.49737 0.00365 3.13043 99.0 0.22989 79.85396 2.8172e-19
29 0.27 1035368 0.0169 9.04769 0.3677 7.58594 1.00534 -2.74774 2.3143 9.02244 9.04769 11.1928 -7.97186 1.44661 0.00571 2.78295 99.0 0.36763 11.46932 7.521900000000001e-19
30 0.01 1035413 0.51909 9.49144 1.08481 7.71959 0.61073 -2.0584 3.11926 9.34408 9.49144 9.50205 -8.32529 0.84358 0.17606 1.83416 99.0 1.08335 16.03117 1.4197e-19
31 0.06 1035617 0.1341 9.61433 0.42631 7.86983 1.00927 -2.56821 2.05875 9.51855 9.61433 33.97331 -7.94009 1.4703 0.04494 3.08987 99.0 0.42612 20.75941 9.843400000000001e-19
32 0.29 1036029 0.01241 7.57307 1.55616 6.49324 0.03879 -1.30096 3.72357 7.54887 7.57307 0.37525 -7.97488 1.21875 0.00424 1.64487 99.0 1.55141 70.10733 8.4588e-20
33 0.3 1036454 0.01178 8.25052 0.36474 8.07961 1.64594 -2.42055 1.97535 8.23067 8.25052 1.78554 -7.98066 1.51523 0.00403 3.26085 99.0 0.36467 25.84698 4.7917e-20
34 0.3 1036459 0.01064 7.52229 1.37263 7.15238 0.0106 -1.09226 2.8277 7.50248 7.52229 0.33384 -7.97906 1.35437 0.00366 2.251 99.0 1.36895 51.64465 2.1663e-19
35 0.3 1036472 0.01101 8.18546 0.17181 7.63866 0.19412 -1.92231 2.66835 8.16757 8.18546 1.53713 -7.98345 1.38168 0.00378 2.39577 99.0 0.17186 45.42859 6.867300000000001e-19
36 0.3 1036942 0.01026 7.90615 0.42514 7.47091 0.42876 -1.50636 2.07524 7.89088 7.90615 0.80797 -7.98399 1.49429 0.00354 3.10841 99.0 0.42501 121.9449 4.4093e-19
37 0.0 1037186 1.43066 9.32952 1.20615 8.52907 0.03854 -1.58115 2.40016 9.14578 9.32952 2.68668 -8.71672 0.53012 0.49457 2.18748 99.0 1.20285 50.03118 3.7512000000000004e-19
38 0.0 1037276 2.21558 10.64375 0.05375 8.62053 1.53865 -3.27454 1.94567 10.42912 10.64375 36.44301 -8.88759 0.41906 0.77809 2.5202 99.0 0.05434 12.93973 2.3819000000000003e-19
39 0.3 1037735 0.01168 7.59492 1.13826 6.92616 0.02027 -1.27917 3.16104 7.57526 7.59492 0.39461 -7.97709 1.30063 0.004 1.98736 99.0 1.13661 45.56418 1.664e-19
40 0.01 1037864 0.90131 9.19884 0.72719 8.48191 0.34264 -2.09762 1.88563 9.03702 9.19884 3.18413 -8.54492 0.8343 0.31697 3.06228 99.0 0.7277 5.57828 4.5564e-19
41 0.0 1038183 1.70441 9.34305 0.03024 7.42347 0.79335 -2.23309 1.53177 9.14128 9.34305 2.29133 -8.78659 0.61927 0.6054 3.49024 99.0 0.03043 23.00007 2.2895000000000004e-19
42 0.01 1038261 0.7832 9.2763 1.37426 8.32377 0.09162 -1.76677 2.89826 9.11708 9.2763 4.39374 -8.483 0.69258 0.26696 1.91348 99.0 1.36897 15.08654 2.9785e-19
43 0.3 1038439 0.01166 7.87937 0.25866 6.58241 0.67056 -2.29132 1.57734 7.86056 7.87937 0.75967 -7.98178 1.60559 0.00399 4.01724 99.0 0.25856 32.17017 4.727300000000001e-19
44 0.02 1038462 0.38509 9.56619 1.43443 8.36387 0.56202 -1.3642 3.98859 9.4317 9.56619 15.18508 -8.21686 0.83091 0.12991 1.39162 99.0 1.42862 88.58575 1.169e-19
45 0.3 1038622 0.01086 8.45358 0.27678 6.58559 0.34781 -1.85094 2.7904 8.43747 8.45358 2.84992 -7.98332 1.36067 0.00373 2.28398 99.0 0.27666 37.69811 7.416800000000001e-19
46 0.0 1038640 1.86923 9.67186 0.07116 8.29006 0.8851 -3.07597 1.53877 9.46807 9.67186 4.32726 -8.82207 0.58746 0.66133 3.45229 99.0 0.07189 18.18266 3.2937e-19
47 0.3 1039947 0.0106 8.47219 0.50396 7.33971 0.45245 -3.69991 3.36083 8.45559 8.47219 2.97466 -7.98277 1.27038 0.00365 1.85462 99.0 0.50346 53.86221 3.5587000000000003e-19
48 0.3 1040075 0.01078 7.82741 1.59653 6.62661 0.0173 -1.12016 3.33899 7.80673 7.82741 0.674 -7.97808 1.27362 0.00371 1.86839 99.0 1.59162 43.46338 2.5495000000000004e-19
49 0.01 1040078 1.0187 9.21604 0.24952 8.00603 0.36367 -1.9094 1.58716 9.04262 9.21604 2.88293 -8.5829 0.84215 0.35001 3.5818 99.0 0.24975 11.9686 7.297400000000001e-19
50 0.3 1040080 0.01176 7.62598 1.49116 7.38584 0.19749 -1.45207 2.20414 7.60132 7.62598 0.42387 -7.9766 1.46818 0.00403 2.92623 99.0 1.48659 38.81681 3.5372000000000005e-19
51 0.01 1040426 0.81927 10.58756 0.699 7.71535 1.11412 -3.0198 3.19669 10.42467 10.58756 82.6662 -8.49732 0.63431 0.28204 1.68074 99.0 0.6996 7.70414 3.0789000000000003e-19
52 0.3 1040637 0.01105 7.21912 0.19613 7.26163 0.05385 -2.33199 2.07743 7.20343 7.21912 0.1661 -7.98337 1.49383 0.00379 3.10483 99.0 0.19614 67.60075 2.3424000000000004e-19
53 0.3 1040852 0.01123 8.3028 0.67829 11.55746 0.92366 -2.21976 2.07255 8.28705 8.3028 2.01396 -7.98081 1.49484 0.00385 3.11067 99.0 0.67742 37.88859 2.83e-19
54 0.01 1041178 1.05023 10.47519 0.11202 7.53143 1.41944 -3.05666 1.51302 10.29897 10.47519 51.8318 -8.58876 0.85147 0.36252 3.77969 99.0 0.11263 17.11696 9.5093e-19
55 0.29 1042152 0.01298 7.39276 1.3408 7.22958 0.06563 -1.4016 2.82444 7.36608 7.39276 0.24775 -7.97431 1.35488 0.00443 2.25262 99.0 1.33716 26.55377 1.1720000000000001e-19
56 0.25 1042557 0.02058 8.86156 0.23816 7.25443 0.48555 -2.51803 2.31109 8.82884 8.86156 7.29136 -7.96645 1.44724 0.00693 2.78514 99.0 0.23809 23.05818 1.8082e-18
57 0.01 1042631 0.88859 9.55816 1.09584 8.09005 0.91147 -2.50968 2.51773 9.39698 9.55816 7.39507 -8.52533 0.7258 0.30393 2.25828 99.0 1.09415 4.68152 9.7275e-20
58 0.19 1042653 0.03624 9.09084 0.35497 7.17938 0.91525 -3.66487 3.49694 9.04431 9.09084 12.36195 -7.95698 1.24999 0.01214 1.76291 99.0 0.35491 27.97599 1.8749e-19
59 0.3 1042674 0.0102 7.83852 0.38609 7.28025 0.27321 -1.38029 2.0857 7.82419 7.83852 0.69147 -7.98434 1.49213 0.00352 3.09303 99.0 0.38606 174.31332 5.6894e-19
60 0.29 1042744 0.0126 8.07718 1.68456 7.14936 0.34916 -1.35833 3.93014 8.05204 8.07718 1.19792 -7.97429 1.19093 0.0043 1.54119 99.0 1.67962 36.37499 9.9976e-20
61 0.01 1042779 0.51581 10.77428 0.8911 7.4828 0.97635 -2.52683 1.93563 10.63193 10.77428 203.93177 -8.32644 1.05978 0.1764 3.1392 99.0 0.89129 4.11414 5.4417e-18
62 0.3 1042851 0.01011 10.06736 1.9717 7.88361 1.50186 -1.01873 3.99763 10.0468 10.06736 117.11524 -7.97837 1.18226 0.00349 1.51356 99.0 1.96717 1404.4247 4.932e-19
63 0.3 1043024 0.01077 8.24306 0.71506 6.53437 0.73208 -3.6996 3.15892 8.2252 8.24306 1.75515 -7.98132 1.30096 0.0037 1.98989 99.0 0.7142 62.20039 1.1532e-19
64 0.07 1043052 0.11437 9.72819 0.46314 7.43597 1.55131 -2.11669 2.12592 9.64672 9.72819 45.23929 -7.97256 1.45879 0.03824 3.0062 99.0 0.46298 40.81891 2.9034000000000003e-19
65 0.22 1043054 0.02844 8.72598 0.46269 7.18747 0.76531 -2.08048 1.85388 8.68299 8.72598 5.33623 -7.95599 1.54152 0.00954 3.4614 99.0 0.46226 22.0865 1.0987e-18
66 0.3 1043240 0.01202 7.44563 1.49339 7.20864 0.03176 -1.29216 3.41843 7.42033 7.44563 0.27982 -7.97583 1.26191 0.00411 1.81793 99.0 1.48899 53.70057 8.2318e-20
67 0.0 1043282 1.77247 9.26117 1.11863 8.24541 0.15659 -2.35024 1.97231 9.06976 9.26117 1.85111 -8.80226 0.52405 0.61381 2.64752 99.0 1.11667 7.19536 3.6670000000000004e-19
68 0.01 1043452 0.6976 10.06154 0.97161 7.96463 1.22318 -2.86323 2.00058 9.90692 10.06154 29.46088 -8.4396 0.91336 0.23823 2.98899 99.0 0.97183 25.21043 3.5348000000000003e-19
69 0.02 1043608 0.42885 9.79226 1.72384 7.86006 0.47456 -1.44437 2.31321 9.65226 9.79226 25.37972 -8.25255 1.0526 0.14489 2.65001 99.0 1.71673 134.21243 1.2789e-18
70 0.01 1043900 1.184 9.61941 0.08427 8.31041 0.10278 -2.76596 2.97964 9.43285 9.61941 6.19453 -8.63432 0.51614 0.40895 1.73832 99.0 0.08494 45.72051 4.6457e-19
71 -0.03 1043968 1.53777 10.78957 0.00527 0.23462 0.96955 -1.87803 1.60295 10.53438 10.78957 2.65514 -10.10859 -0.76542 1.0899 2.86996 99.0 0.00527 18.01472 1.6814000000000002e-19
72 0.01 1044044 0.93841 9.47281 0.04112 7.91365 0.05096 -2.55289 2.87548 9.29778 9.47281 5.51211 -8.5374 0.62698 0.31991 1.88383 99.0 0.04143 184.18119 5.640500000000001e-19
