 Mass Survey
61226 7.998931378116397 CEERS
61124 7.928841516036487 CEERS
10601 7.547774070502756 CEERS
15824 7.928763146326194 CEERS
18264 8.786297480925185 CEERS
59193 8.848421520061075 CEERS
16393 8.36825411692896 CEERS
29553 9.16891120056228 CEERS
29164 9.567561654824138 CEERS
26141 8.3091299851821 CEERS
26080 8.18219744104619 CEERS
22628 8.529502912004844 CEERS
12939 8.897974310703626 CEERS
14780 9.509434029215118 CEERS
13204 8.614171664566989 CEERS
29068 9.884228725407306 CEERS
27080 8.496330946707936 CEERS
25175 9.893619270263098 CEERS
26933 10.68605389034121 CEERS
17777 9.23412701323216 CEERS
19808 8.40700328316434 CEERS
22166 8.50942804885112 CEERS
15297 9.059404197119513 CEERS
9274 7.62933205374729 CEERS
248 7.950447785971026 CEERS
1765 7.795923982352022 CEERS
2500 7.599457649257655 CEERS
3407 8.700271174092489 CEERS
3725 9.12709033764792 CEERS
74139 7.820244033562764 CEERS
8981 7.586073915268066 CEERS
9114 8.106446209661273 CEERS
15180 8.21813770979897 CEERS
15675 7.930830853540829 CEERS
71513 9.117298546030838 CEERS
16258 8.300824401410694 CEERS
8974 8.373165409724233 CEERS
11320 8.651691475317955 CEERS
12256 9.269298795758596 CEERS
18769 9.350980362639952 CEERS
76036 8.389860084758798 CEERS
6691 8.03365978490325 CEERS
4651 7.650652922949462 CEERS
2492 9.4162659573803 CEERS
1515 9.145227601341611 CEERS
4152 7.857472895834704 CEERS
2105 7.188284933350973 CEERS
28350 8.580015241362808 CEERS
23217 8.386431181737048 CEERS
20357 9.060690739566834 CEERS
28953 10.034922775390267 CEERS
25242 9.12004181091732 CEERS
31141 9.544124201977215 CEERS
20667 8.84082042454627 CEERS
27122 9.031748228787588 CEERS
28122 9.27557108692318 CEERS
11283 8.426190040952324 CEERS
26386 7.990278906538798 CEERS
25548 7.862329795737798 CEERS
24663 8.925223174036946 CEERS
23016 8.500704957244821 CEERS
14647 8.358522686731103 CEERS
24865 7.690861214704434 CEERS
12353 8.913262961185467 CEERS
27345 9.688692601628915 CEERS
26177 7.872863937581836 CEERS
19114 8.650253214710732 CEERS
15176 9.871169126559131 CEERS
16368 8.587443584443868 CEERS
18650 8.282870633448287 CEERS
22191 9.120874618650376 CEERS
22457 8.934623368053856 CEERS
21544 8.00360091239341 CEERS
21938 9.602682979325298 CEERS
20796 8.15412970194395 CEERS
53999 9.028824515202505 CEERS
28458 7.767249938591137 CEERS
29580 8.296699011723208 CEERS
30922 7.945455661063079 CEERS
29884 8.463693284810912 CEERS
46053 7.183283536081339 CEERS
23358 8.766796023785481 CEERS
21647 8.1745383994757 CEERS
21525 9.19910788084406 CEERS
21356 7.747896203584288 CEERS
21248 8.365950230639811 CEERS
20302 8.265002480307317 CEERS
16966 8.367552925433342 CEERS
15754 8.390890169903225 CEERS
20463 7.856568590284679 CEERS
24818 8.561319100005855 CEERS
28090 9.068154158747625 CEERS
31096 8.251492712893274 CEERS
13473 8.343081622154608 CEERS
22034 7.971092285878252 CEERS
30575 7.549685471702019 CEERS
30466 9.138350836847918 CEERS
30144 8.000883602408893 CEERS
25885 8.044152587898356 CEERS
25902 8.105298958484315 CEERS
21273 8.599131360578493 CEERS
21305 7.902797208971772 CEERS
20665 8.281453952931283 CEERS
54450 7.723702435080538 CEERS
55452 7.561060592026504 CEERS
19712 7.674291941864379 CEERS
19195 8.019685487243663 CEERS
